c$_1$ = 33.75190925762434, c$_2$ = -364.0799614045306, c$_3$ = 351.88604578258276, c$_4$ = -142.18388313623706, c$_5$ = 32.21482309276228, c$_6$ = -4.664315065766425, c$_7$ = 0.46390847442628597, c$_8$ = -0.03314495549466895, c$_9$ = 0.0017522951641423283, c$_10$ = -6.993875684447799e-05, c$_11$ = 2.135326462632506e-06, c$_12$ = -5.024479821235435e-08, c$_13$ = 9.131486588525578e-10, c$_14$ = -1.2774185188244751e-11, c$_15$ = 1.361733521490312e-13, c$_16$ = -1.0852709355175505e-15, c$_17$ = 6.257263678249966e-18, c$_18$ = -2.463881704512879e-20, c$_19$ = 5.925904977637611e-23, c$_20$ = -6.564684649020549e-26, 
c$_1$ = 16.73905171752262, c$_2$ = -183.67999786887765, c$_3$ = 235.1843555369092, c$_4$ = -108.8943318467113, c$_5$ = 26.649791759494157, c$_6$ = -4.048108541033717, c$_7$ = 0.415555006915885, c$_8$ = -0.030341545934386212, c$_9$ = 0.0016289125127732496, c$_10$ = -6.574344424375765e-05, c$_11$ = 2.0239317238441113e-06, c$_12$ = -4.792327418467803e-08, c$_13$ = 8.751757721355698e-10, c$_14$ = -1.2289334352139807e-11, c$_15$ = 1.313978713561983e-13, c$_16$ = -1.0497303787576028e-15, c$_17$ = 6.064142052290704e-18, c$_18$ = -2.3916393898536453e-20, c$_19$ = 5.759697001379113e-23, c$_20$ = -6.387497157569104e-26, 
c$_1$ = 17.47551235896353, c$_2$ = -191.48808151260897, c$_3$ = 240.22396632357743, c$_4$ = -110.32772357833915, c$_5$ = 26.88857186317068, c$_6$ = -4.074441281089696, c$_7$ = 0.4176120099777798, c$_8$ = -0.030460222067809375, c$_9$ = 0.0016341084704442966, c$_10$ = -6.591915851291443e-05, c$_11$ = 2.0285711439732544e-06, c$_12$ = -4.801940858363115e-08, c$_13$ = 8.767391272548885e-10, c$_14$ = -1.230917976892294e-11, c$_15$ = 1.3159220204903788e-13, c$_16$ = -1.0511683045880306e-15, c$_17$ = 6.0719108883000045e-18, c$_18$ = -2.3945291471936873e-20, c$_19$ = 5.766308556774731e-23, c$_20$ = -6.394507004920112e-26, 
c$_1$ = 17.31935812200335, c$_2$ = -189.83210797448282, c$_3$ = 239.15118515253877, c$_4$ = -110.02124258664337, c$_5$ = 26.837270126462027, c$_6$ = -4.068755766127186, c$_7$ = 0.4171657419752862, c$_8$ = -0.030434358717211223, c$_9$ = 0.0016329714498842275, c$_10$ = -6.588056828803374e-05, c$_11$ = 2.027549102410567e-06, c$_12$ = -4.7998177217852875e-08, c$_13$ = 8.763931781852001e-10, c$_14$ = -1.2304781934494582e-11, c$_15$ = 1.3154909736886826e-13, c$_16$ = -1.050849211011545e-15, c$_17$ = 6.070186855948664e-18, c$_18$ = -2.3938881093323846e-20, c$_19$ = 5.764843011046532e-23, c$_20$ = -6.392954855316176e-26, 
c$_1$ = 17.181342008181986, c$_2$ = -188.36760250490426, c$_3$ = 238.1936746664145, c$_4$ = -109.74444258745066, c$_5$ = 26.79028694109436, c$_6$ = -4.063466154735983, c$_7$ = 0.41674327046926857, c$_8$ = -0.030409409296141863, c$_9$ = 0.001631852336358371, c$_10$ = -6.584177074968578e-05, c$_11$ = 2.0264984826477297e-06, c$_12$ = -4.79758427804685e-08, c$_13$ = 8.760204929453951e-10, c$_14$ = -1.2299927266364152e-11, c$_15$ = 1.3150031755320653e-13, c$_16$ = -1.0504788869579584e-15, c$_17$ = 6.0681344593718725e-18, c$_18$ = -2.3931052051682834e-20, c$_19$ = 5.76300670041073e-23, c$_20$ = -6.390959714310497e-26, 
c$_1$ = 17.416064261592453, c$_2$ = -190.85720482674796, c$_3$ = 239.81083584655178, c$_4$ = -110.20803322898905, c$_5$ = 26.86819741903214, c$_6$ = -4.07213902064308, c$_7$ = 0.4174273046775873, c$_8$ = -0.030449255446713057, c$_9$ = 0.0016336134769696876, c$_10$ = -6.590187558940588e-05, c$_11$ = 2.0280994028015725e-06, c$_12$ = -4.800929252959969e-08, c$_13$ = 8.765687314885048e-10, c$_14$ = -1.2306937820839207e-11, c$_15$ = 1.315694359325578e-13, c$_16$ = -1.0509935571174057e-15, c$_17$ = 6.070931325279467e-18, c$_18$ = -2.3941510967967996e-20, c$_19$ = 5.76541122518742e-23, c$_20$ = -6.393520243993498e-26, 
c$_1$ = 17.413223684244354, c$_2$ = -190.8278385405991, c$_3$ = 239.79934254844068, c$_4$ = -110.20756360665558, c$_5$ = 26.86868843966773, c$_6$ = -4.072267030861288, c$_7$ = 0.41744393544406644, c$_8$ = -0.030450647167669823, c$_9$ = 0.0016336955020500063, c$_10$ = -6.590543549552255e-05, c$_11$ = 2.0282160445584947e-06, c$_12$ = -4.801221730028121e-08, c$_13$ = 8.766251624486148e-10, c$_14$ = -1.2307774213932365e-11, c$_15$ = 1.3157887197327673e-13, c$_16$ = -1.0510730922845536e-15, c$_17$ = 6.071416051476796e-18, c$_18$ = -2.3943527425784737e-20, c$_19$ = 5.765923273757767e-23, c$_20$ = -6.394118703692332e-26, 
c$_1$ = 17.19295502695307, c$_2$ = -188.4905830784694, c$_3$ = 238.27162939566523, c$_4$ = -109.76606130847627, c$_5$ = 26.793769702556343, c$_6$ = -4.063833953307018, c$_7$ = 0.4167704535841853, c$_8$ = -0.03041087091405882, c$_9$ = 0.0016319108376736278, c$_10$ = -6.58435336992903e-05, c$_11$ = 2.0265385128029893e-06, c$_12$ = -4.7976519156777595e-08, c$_13$ = 8.760286966880732e-10, c$_14$ = -1.2299991898422766e-11, c$_15$ = 1.315005231273553e-13, c$_16$ = -1.0504769407687738e-15, c$_17$ = 6.068103540469524e-18, c$_18$ = -2.3930854906111396e-20, c$_19$ = 5.76294138130827e-23, c$_20$ = -6.390867542998204e-26, 
c$_1$ = 17.362200394642173, c$_2$ = -190.28636635681616, c$_3$ = 239.444746797659, c$_4$ = -110.10485366037875, c$_5$ = 26.85121715173133, c$_6$ = -4.070295658646045, c$_7$ = 0.4172861428159533, c$_8$ = -0.030441309509704615, c$_9$ = 0.0016332758875514408, c$_10$ = -6.589086542861425e-05, c$_11$ = 2.0278210036068326e-06, c$_12$ = -4.8003812077857975e-08, c$_13$ = 8.764848432012146e-10, c$_14$ = -1.2305946332403584e-11, c$_15$ = 1.3156051298164547e-13, c$_16$ = -1.0509338354578805e-15, c$_17$ = 6.070645269990465e-18, c$_18$ = -2.3940592265547405e-20, c$_19$ = 5.765236280165862e-23, c$_20$ = -6.393374127320068e-26, 
c$_1$ = 17.36620979773164, c$_2$ = -190.3285616097255, c$_3$ = 239.46886396939706, c$_4$ = -110.11052176361974, c$_5$ = 26.85191303280557, c$_6$ = -4.070339274768682, c$_7$ = 0.4172864888109638, c$_8$ = -0.03044112405641778, c$_9$ = 0.0016332574518553784, c$_10$ = -6.588984656917872e-05, c$_11$ = 2.027782392911185e-06, c$_12$ = -4.8002742417510236e-08, c$_13$ = 8.764626178043094e-10, c$_14$ = -1.2305597166313482e-11, c$_15$ = 1.3155638139546027e-13, c$_16$ = -1.0508975805206873e-15, c$_17$ = 6.070416493246216e-18, c$_18$ = -2.393961098018983e-20, c$_19$ = 5.764980203978693e-23, c$_20$ = -6.393067387750883e-26, 
c$_1$ = 17.47235959995817, c$_2$ = -191.4548080787287, c$_3$ = 240.20400742865402, c$_4$ = -110.32259903914364, c$_5$ = 26.88782466402884, c$_6$ = -4.074371829320363, c$_7$ = 0.41760766646300607, c$_8$ = -0.030460036734598305, c$_9$ = 0.0016341032920325382, c$_10$ = -6.59190839731347e-05, c$_11$ = 2.028571833936989e-06, c$_12$ = -4.801947742671274e-08, c$_13$ = 8.767411168151243e-10, c$_14$ = -1.2309215758837745e-11, c$_15$ = 1.3159265574039895e-13, c$_16$ = -1.0511723773944686e-15, c$_17$ = 6.0719365555302995e-18, c$_18$ = -2.394539973978924e-20, c$_19$ = 5.766336053200828e-23, c$_20$ = -6.394538825366641e-26, 
